;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
0;"Reeder M10 PRO LTE 32GB 10.1"" IPS Tablet Beyaz";Reeder;1.399,00 TL;%36;899,90 TL;% 0;899,90 TL;4,2;140 ;https://www.hepsiburada.com//reeder-m10-pro-lte-32gb-10-1-ips-tablet-beyaz-p-HBV00000MI6VV
1;"Samsung Galaxy Tab A7 SM-T500 32 GB 10.4"" Tablet";Samsung;1.999,00 TL;%16;1.679,90 TL;% 0;1.679,90 TL;4,8;3811 ;https://www.hepsiburada.com//samsung-galaxy-tab-a7-sm-t500-32-gb-10-4-tablet-p-HBV00000YDZXT
2;"Apple iPad 8. Nesil 32 GB 10.2"" WiFi Tablet - MYL92TU/A";Apple;3.499,00 TL;%6;3.299,91 TL;% 0;3.299,91 TL;4,9;963 ;https://www.hepsiburada.com//apple-ipad-8-nesil-32-gb-10-2-wifi-tablet-myl92tu-a-p-HBV00000XAMHU
3;Samsung Galaxy Tab A 8 SM-T290 32GB Tablet Siyah;Samsung;1.299,00 TL;%24;988,90 TL;% 0;988,90 TL;4,7;4265 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-8-sm-t290-32gb-tablet-siyah-p-HBV00000NATN6
4;"Samsung Galaxy Tab S6 Lite SM-P610 64GB 10.4"" Tablet - Gök Mavisi";Samsung;2.999,00 TL;%16;2.519,90 TL;% 0;2.519,90 TL;4,8;3195 ;https://www.hepsiburada.com//samsung-galaxy-tab-s6-lite-sm-p610-64gb-10-4-tablet-gok-mavisi-p-HBV00000TB9MB
5;"Samsung Galaxy Tab A SM-T297 8"" 32GB 4G Tablet Siyah";Samsung;1.499,00 TL;%25;1.129,90 TL;% 0;1.129,90 TL;4,6;670 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-sm-t297-8-32gb-4g-tablet-siyah-p-HBV00000TKRF2
6;Reeder M10 Blue Max 64GB 4G LTE;Reeder;2.299,00 TL;%35;1.499,00 TL;% 0;1.499,00 TL;4,0;169 ;https://www.hepsiburada.com//reeder-m10-blue-max-64gb-4g-lte-p-HBV00001473QM
7;Huawei Matepad 11 128 GB;Huawei;4.997,50 TL;%0;4.997,50 TL;% 0;4.997,50 TL;None;;https://www.hepsiburada.com//huawei-matepad-11-128-gb-p-HBCV00000C9J4P
8;"Lenovo TAB M10 TB-X606F 64GB 10.3"" Wi-Fi Tablet - Gri ZA5T0215TR";Lenovo;2.999,00 TL;%42;1.749,73 TL;% 0;1.749,73 TL;4,7;307 ;https://www.hepsiburada.com//lenovo-tab-m10-tb-x606f-64gb-10-3-wi-fi-tablet-gri-za5t0215tr-p-HBV00000TCIT1
9;"Alcatel 1T 16GB 7"" WiFi Tablet Lacivert";Alcatel;499,00 TL;%8;459,90 TL;% 0;459,90 TL;4,2;448 ;https://www.hepsiburada.com//alcatel-1t-16gb-7-wifi-tablet-lacivert-p-HBV00000WGFAS
10;Huawei Matepad T10 32 GB;Huawei;1.799,00 TL;%39;1.096,89 TL;% 0;1.096,89 TL;4,6;139 ;https://www.hepsiburada.com//huawei-matepad-t10-32-gb-p-HBV00000X7U6B
11;"Samsung Galaxy Tab A7 SM-T507 32 GB 10.4"" Tablet";Samsung;1.648,84 TL;%0;1.648,84 TL;% 0;1.648,84 TL;4,7;247 ;https://www.hepsiburada.com//samsung-galaxy-tab-a7-sm-t507-32-gb-10-4-tablet-p-HBV000013E1EI
12;Lenovo Smart Tab M8 TB-8505FS ZA5C0062TR 32GB;Lenovo;1.199,00 TL;%21;949,90 TL;% 0;949,90 TL;4,8;156 ;https://www.hepsiburada.com//lenovo-smart-tab-m8-tb-8505fs-za5c0062tr-32gb-p-HBV0000120WVL
13;"Apple iPad Air 4. Nesil 10.9"" 64 GB Wifi Tablet - MYFN2TU/A";Apple;6.399,00 TL;%9;5.799,90 TL;% 0;5.799,90 TL;4,9;487 ;https://www.hepsiburada.com//apple-ipad-air-4-nesil-10-9-64-gb-wifi-tablet-myfn2tu-a-p-HBV00000XAMHI
